GO.ID	Term	Annotated	Raw.P.Value
GO:0030855	epithelial cell differentiation	460	1.3e-07
GO:0006695	cholesterol biosynthetic process	43	5.2e-06
GO:0006805	xenobiotic metabolic process	67	7.0e-06
GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	28	8.3e-06
GO:0051965	positive regulation of synapse assembly	33	1.4e-05
GO:0010951	negative regulation of endopeptidase activity	145	1.6e-05
GO:0042632	cholesterol homeostasis	56	1.7e-05
GO:0045429	positive regulation of nitric oxide biosynthetic process	29	2.4e-05
GO:0050919	negative chemotaxis	34	2.6e-05
GO:1902895	positive regulation of pri-miRNA transcription by RNA polymerase II	37	3.5e-05
GO:0007204	positive regulation of cytosolic calcium ion concentration	149	7.5e-05
GO:0010575	positive regulation of vascular endothelial growth factor production	22	7.7e-05
GO:0032869	cellular response to insulin stimulus	158	8.4e-05
GO:0070373	negative regulation of ERK1 and ERK2 cascade	58	0.00011
GO:0010744	positive regulation of macrophage derived foam cell differentiation	9	0.00012
GO:1903078	positive regulation of protein localization to plasma membrane	48	0.00014
GO:0007411	axon guidance	151	0.00015
GO:0007229	integrin-mediated signaling pathway	78	0.00015
GO:0120162	positive regulation of cold-induced thermogenesis	68	0.00015
GO:0070508	cholesterol import	6	0.00015
GO:0001822	kidney development	226	0.00016
GO:1905606	regulation of presynapse assembly	20	0.00016
GO:0150104	transport across blood-brain barrier	59	0.00016
GO:0071404	cellular response to low-density lipoprotein particle stimulus	14	0.00017
GO:0070374	positive regulation of ERK1 and ERK2 cascade	122	0.00017
GO:0010977	negative regulation of neuron projection development	108	0.00020
GO:0046718	viral entry into host cell	111	0.00021
GO:0043406	positive regulation of MAP kinase activity	87	0.00022
GO:0032332	positive regulation of chondrocyte differentiation	12	0.00026
GO:0030953	astral microtubule organization	11	0.00027
GO:0007165	signal transduction	3510	0.00029
GO:1902600	proton transmembrane transport	117	0.00033
GO:0090063	positive regulation of microtubule nucleation	8	0.00034
GO:0019372	lipoxygenase pathway	7	0.00036
GO:0007015	actin filament organization	346	0.00038
GO:0007179	transforming growth factor beta receptor signaling pathway	146	0.00039
GO:0007155	cell adhesion	977	0.00041
GO:0030282	bone mineralization	76	0.00044
GO:0071447	cellular response to hydroperoxide	7	0.00044
GO:0010628	positive regulation of gene expression	801	0.00045
GO:0042742	defense response to bacterium	132	0.00045
GO:0008584	male gonad development	98	0.00046
GO:0042908	xenobiotic transport	26	0.00047
GO:0035338	long-chain fatty-acyl-CoA biosynthetic process	15	0.00048
GO:0032570	response to progesterone	32	0.00049
GO:0042178	xenobiotic catabolic process	22	0.00055
GO:0032689	negative regulation of interferon-gamma production	26	0.00057
GO:0006955	immune response	954	0.00057
GO:0071320	cellular response to cAMP	38	0.00060
GO:1990264	peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity	7	0.00062
GO:0035725	sodium ion transmembrane transport	99	0.00062
GO:0016477	cell migration	1029	0.00063
GO:0030335	positive regulation of cell migration	398	0.00078
GO:0048843	negative regulation of axon extension involved in axon guidance	23	0.00081
GO:0032496	response to lipopolysaccharide	209	0.00085
GO:0045599	negative regulation of fat cell differentiation	36	0.00086
GO:0031641	regulation of myelination	35	0.00088
GO:0034625	fatty acid elongation, monounsaturated fatty acid	5	0.00090
GO:0034626	fatty acid elongation, polyunsaturated fatty acid	5	0.00090
GO:0019367	fatty acid elongation, saturated fatty acid	5	0.00090
GO:0003215	cardiac right ventricle morphogenesis	12	0.00093
GO:0060326	cell chemotaxis	182	0.00094
GO:0007611	learning or memory	156	0.00097
GO:0001525	angiogenesis	368	0.00100
GO:0051897	positive regulation of protein kinase B signaling	82	0.00102
GO:0002544	chronic inflammatory response	10	0.00104
GO:0030278	regulation of ossification	78	0.00106
GO:0018149	peptide cross-linking	20	0.00109
GO:0043651	linoleic acid metabolic process	13	0.00117
GO:0048008	platelet-derived growth factor receptor signaling pathway	49	0.00117
GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	75	0.00126
GO:0032526	response to retinoic acid	79	0.00126
GO:0042744	hydrogen peroxide catabolic process	13	0.00133
GO:0007035	vacuolar acidification	21	0.00142
GO:0007368	determination of left/right symmetry	93	0.00142
GO:0032808	lacrimal gland development	4	0.00144
GO:0030431	sleep	10	0.00147
GO:0042574	retinal metabolic process	12	0.00155
GO:0007528	neuromuscular junction development	35	0.00157
GO:0031077	post-embryonic camera-type eye development	7	0.00162
GO:0045766	positive regulation of angiogenesis	108	0.00163
GO:0048010	vascular endothelial growth factor receptor signaling pathway	43	0.00165
GO:0015825	L-serine transport	8	0.00166
GO:0009611	response to wounding	385	0.00167
GO:1990869	cellular response to chemokine	41	0.00171
GO:0036376	sodium ion export across plasma membrane	6	0.00172
GO:0018105	peptidyl-serine phosphorylation	242	0.00175
GO:0046330	positive regulation of JNK cascade	76	0.00175
GO:0009267	cellular response to starvation	141	0.00176
GO:0034446	substrate adhesion-dependent cell spreading	88	0.00179
GO:0006883	cellular sodium ion homeostasis	10	0.00182
GO:0006006	glucose metabolic process	146	0.00186
GO:0071380	cellular response to prostaglandin E stimulus	14	0.00187
GO:0043568	positive regulation of insulin-like growth factor receptor signaling pathway	7	0.00191
GO:0007162	negative regulation of cell adhesion	208	0.00197
GO:0006874	cellular calcium ion homeostasis	229	0.00197
GO:0048485	sympathetic nervous system development	13	0.00197
GO:0071716	leukotriene transport	6	0.00201
GO:0042572	retinol metabolic process	31	0.00210
GO:0030502	negative regulation of bone mineralization	9	0.00219
GO:0006636	unsaturated fatty acid biosynthetic process	39	0.00219
GO:0016264	gap junction assembly	11	0.00222
GO:0007605	sensory perception of sound	92	0.00227
