GO.ID	Term	Annotated	Raw.P.Value
GO:0006695	cholesterol biosynthetic process	43	5.4e-09
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	41	1.8e-08
GO:0045071	negative regulation of viral genome replication	49	4.1e-08
GO:0036158	outer dynein arm assembly	18	8.8e-08
GO:0060271	cilium assembly	314	1.6e-07
GO:0071222	cellular response to lipopolysaccharide	129	1.7e-07
GO:0034341	response to interferon-gamma	105	2.8e-07
GO:0002181	cytoplasmic translation	141	3.5e-07
GO:0044458	motile cilium assembly	23	6.2e-07
GO:0032760	positive regulation of tumor necrosis factor production	66	6.6e-07
GO:0007018	microtubule-based movement	318	7.3e-07
GO:0051607	defense response to virus	208	1.3e-06
GO:0007288	sperm axoneme assembly	25	2.6e-06
GO:0031663	lipopolysaccharide-mediated signaling pathway	45	6.7e-06
GO:0032729	positive regulation of interferon-gamma production	42	9.2e-06
GO:0032496	response to lipopolysaccharide	209	1.3e-05
GO:0030593	neutrophil chemotaxis	55	1.4e-05
GO:0010951	negative regulation of endopeptidase activity	145	1.8e-05
GO:0042127	regulation of cell population proliferation	1132	1.9e-05
GO:0034375	high-density lipoprotein particle remodeling	8	2.4e-05
GO:0032755	positive regulation of interleukin-6 production	66	2.5e-05
GO:0032733	positive regulation of interleukin-10 production	25	3.0e-05
GO:0071347	cellular response to interleukin-1	87	3.4e-05
GO:0007267	cell-cell signaling	985	3.9e-05
GO:0060333	interferon-gamma-mediated signaling pathway	31	4.0e-05
GO:0051092	positive regulation of NF-kappaB transcription factor activity	128	4.3e-05
GO:0042060	wound healing	298	4.6e-05
GO:0031424	keratinization	27	4.7e-05
GO:0045087	innate immune response	512	4.9e-05
GO:0003341	cilium movement	132	5.9e-05
GO:0090050	positive regulation of cell migration involved in sprouting angiogenesis	19	6.1e-05
GO:0042572	retinol metabolic process	31	7.6e-05
GO:0043691	reverse cholesterol transport	8	9.1e-05
GO:0007368	determination of left/right symmetry	93	0.00012
GO:0030148	sphingolipid biosynthetic process	81	0.00012
GO:0031640	killing of cells of other organism	25	0.00012
GO:0050729	positive regulation of inflammatory response	83	0.00012
GO:0060337	type I interferon signaling pathway	50	0.00013
GO:0036159	inner dynein arm assembly	16	0.00013
GO:0048813	dendrite morphogenesis	108	0.00014
GO:0035456	response to interferon-beta	23	0.00015
GO:0003351	epithelial cilium movement involved in extracellular fluid movement	38	0.00020
GO:0016477	cell migration	1029	0.00025
GO:0070098	chemokine-mediated signaling pathway	32	0.00026
GO:0051493	regulation of cytoskeleton organization	432	0.00027
GO:0035455	response to interferon-alpha	20	0.00028
GO:0090660	cerebrospinal fluid circulation	14	0.00029
GO:0120197	mucociliary clearance	8	0.00029
GO:0071356	cellular response to tumor necrosis factor	177	0.00030
GO:0060285	cilium-dependent cell motility	97	0.00032
GO:0009612	response to mechanical stimulus	143	0.00033
GO:0006487	protein N-linked glycosylation	63	0.00033
GO:0045910	negative regulation of DNA recombination	39	0.00034
GO:0033490	cholesterol biosynthetic process via lathosterol	4	0.00036
GO:0033489	cholesterol biosynthetic process via desmosterol	4	0.00036
GO:0070848	response to growth factor	485	0.00040
GO:0060700	regulation of ribonuclease activity	8	0.00042
GO:0046718	viral entry into host cell	111	0.00044
GO:0060968	regulation of gene silencing	62	0.00051
GO:0019371	cyclooxygenase pathway	6	0.00051
GO:0042742	defense response to bacterium	132	0.00052
GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	20	0.00053
GO:0032722	positive regulation of chemokine production	43	0.00056
GO:0010628	positive regulation of gene expression	801	0.00057
GO:0030050	vesicle transport along actin filament	12	0.00058
GO:0032735	positive regulation of interleukin-12 production	28	0.00059
GO:0030282	bone mineralization	76	0.00060
GO:0002544	chronic inflammatory response	10	0.00063
GO:0042632	cholesterol homeostasis	56	0.00070
GO:0090026	positive regulation of monocyte chemotaxis	11	0.00071
GO:0045089	positive regulation of innate immune response	106	0.00073
GO:1901741	positive regulation of myoblast fusion	12	0.00079
GO:0007009	plasma membrane organization	88	0.00080
GO:0032757	positive regulation of interleukin-8 production	43	0.00083
GO:0051770	positive regulation of nitric-oxide synthase biosynthetic process	13	0.00084
GO:0048333	mesodermal cell differentiation	20	0.00087
GO:0048247	lymphocyte chemotaxis	31	0.00092
GO:0071260	cellular response to mechanical stimulus	59	0.00092
GO:0046330	positive regulation of JNK cascade	76	0.00094
GO:0070106	interleukin-27-mediated signaling pathway	7	0.00103
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	172	0.00103
GO:0044597	daunorubicin metabolic process	8	0.00104
GO:0044598	doxorubicin metabolic process	8	0.00104
GO:0006955	immune response	954	0.00106
GO:2000379	positive regulation of reactive oxygen species metabolic process	79	0.00108
GO:1904667	negative regulation of ubiquitin protein ligase activity	12	0.00114
GO:0043297	apical junction assembly	53	0.00118
GO:0010759	positive regulation of macrophage chemotaxis	12	0.00121
GO:0002281	macrophage activation involved in immune response	13	0.00124
GO:0019882	antigen processing and presentation	92	0.00126
GO:0032728	positive regulation of interferon-beta production	38	0.00129
GO:0045860	positive regulation of protein kinase activity	297	0.00141
GO:1901216	positive regulation of neuron death	66	0.00142
GO:0051384	response to glucocorticoid	91	0.00144
GO:0035721	intraciliary retrograde transport	13	0.00144
GO:0071223	cellular response to lipoteichoic acid	9	0.00145
GO:2000556	positive regulation of T-helper 1 cell cytokine production	5	0.00148
GO:0043066	negative regulation of apoptotic process	629	0.00148
GO:0070374	positive regulation of ERK1 and ERK2 cascade	122	0.00151
GO:0021591	ventricular system development	28	0.00154
GO:0071346	cellular response to interferon-gamma	90	0.00163
GO:0018149	peptide cross-linking	20	0.00165
GO:0060546	negative regulation of necroptotic process	12	0.00169
GO:0032308	positive regulation of prostaglandin secretion	11	0.00172
GO:1902966	positive regulation of protein localization to early endosome	9	0.00176
GO:0043589	skin morphogenesis	9	0.00177
GO:0031394	positive regulation of prostaglandin biosynthetic process	5	0.00178
GO:0061436	establishment of skin barrier	19	0.00179
GO:0006069	ethanol oxidation	6	0.00180
GO:0035338	long-chain fatty-acyl-CoA biosynthetic process	15	0.00181
GO:0034142	toll-like receptor 4 signaling pathway	32	0.00181
GO:0022617	extracellular matrix disassembly	40	0.00188
