GO.ID	Term	Annotated	Raw.P.Value
GO:0045071	negative regulation of viral genome replication	49	3.8e-10
GO:0006695	cholesterol biosynthetic process	43	2.3e-08
GO:0060271	cilium assembly	314	2.9e-08
GO:0071222	cellular response to lipopolysaccharide	129	1.2e-07
GO:0051607	defense response to virus	208	1.3e-07
GO:0036158	outer dynein arm assembly	18	1.5e-07
GO:0007018	microtubule-based movement	318	1.5e-06
GO:0032760	positive regulation of tumor necrosis factor production	66	2.9e-06
GO:0003341	cilium movement	132	2.9e-06
GO:0034341	response to interferon-gamma	105	3.8e-06
GO:0045087	innate immune response	512	7.3e-06
GO:0032722	positive regulation of chemokine production	43	1.0e-05
GO:0007288	sperm axoneme assembly	25	1.1e-05
GO:0032496	response to lipopolysaccharide	209	1.3e-05
GO:0007267	cell-cell signaling	985	1.6e-05
GO:0035456	response to interferon-beta	23	2.2e-05
GO:0043065	positive regulation of apoptotic process	399	2.2e-05
GO:0032755	positive regulation of interleukin-6 production	66	2.3e-05
GO:0060333	interferon-gamma-mediated signaling pathway	31	2.5e-05
GO:0051092	positive regulation of NF-kappaB transcription factor activity	128	2.8e-05
GO:0031424	keratinization	27	4.0e-05
GO:0035455	response to interferon-alpha	20	4.3e-05
GO:0070098	chemokine-mediated signaling pathway	32	4.5e-05
GO:0032731	positive regulation of interleukin-1 beta production	36	6.7e-05
GO:0060285	cilium-dependent cell motility	97	8.7e-05
GO:0036159	inner dynein arm assembly	16	0.00011
GO:0044458	motile cilium assembly	23	0.00011
GO:0050729	positive regulation of inflammatory response	83	0.00013
GO:0071260	cellular response to mechanical stimulus	59	0.00013
GO:0034142	toll-like receptor 4 signaling pathway	32	0.00014
GO:0030890	positive regulation of B cell proliferation	27	0.00014
GO:0051770	positive regulation of nitric-oxide synthase biosynthetic process	13	0.00015
GO:0071407	cellular response to organic cyclic compound	401	0.00015
GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	20	0.00016
GO:0030335	positive regulation of cell migration	398	0.00017
GO:0070106	interleukin-27-mediated signaling pathway	7	0.00017
GO:0070371	ERK1 and ERK2 cascade	208	0.00020
GO:0009617	response to bacterium	381	0.00020
GO:0035082	axoneme assembly	77	0.00020
GO:0042127	regulation of cell population proliferation	1132	0.00024
GO:0010628	positive regulation of gene expression	801	0.00025
GO:0120197	mucociliary clearance	8	0.00025
GO:0048247	lymphocyte chemotaxis	31	0.00031
GO:0007368	determination of left/right symmetry	93	0.00032
GO:0045429	positive regulation of nitric oxide biosynthetic process	29	0.00036
GO:0071347	cellular response to interleukin-1	87	0.00038
GO:0035721	intraciliary retrograde transport	13	0.00038
GO:0060700	regulation of ribonuclease activity	8	0.00039
GO:0090660	cerebrospinal fluid circulation	14	0.00041
GO:0007565	female pregnancy	121	0.00043
GO:1901224	positive regulation of NIK/NF-kappaB signaling	53	0.00043
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	172	0.00044
GO:0033490	cholesterol biosynthetic process via lathosterol	4	0.00045
GO:0033489	cholesterol biosynthetic process via desmosterol	4	0.00045
GO:0071346	cellular response to interferon-gamma	90	0.00048
GO:0032735	positive regulation of interleukin-12 production	28	0.00053
GO:2000811	negative regulation of anoikis	18	0.00053
GO:0060337	type I interferon signaling pathway	50	0.00057
GO:0010634	positive regulation of epithelial cell migration	128	0.00062
GO:0019372	lipoxygenase pathway	7	0.00063
GO:0031664	regulation of lipopolysaccharide-mediated signaling pathway	18	0.00066
GO:0032733	positive regulation of interleukin-10 production	25	0.00080
GO:0070542	response to fatty acid	45	0.00081
GO:0033627	cell adhesion mediated by integrin	56	0.00081
GO:0042073	intraciliary transport	40	0.00083
GO:0043032	positive regulation of macrophage activation	16	0.00086
GO:0032729	positive regulation of interferon-gamma production	42	0.00092
GO:0070374	positive regulation of ERK1 and ERK2 cascade	122	0.00093
GO:1902895	positive regulation of pri-miRNA transcription by RNA polymerase II	37	0.00102
GO:1901388	regulation of transforming growth factor beta activation	7	0.00108
GO:0043066	negative regulation of apoptotic process	629	0.00111
GO:0003351	epithelial cilium movement involved in extracellular fluid movement	38	0.00114
GO:0046718	viral entry into host cell	111	0.00115
GO:0031334	positive regulation of protein-containing complex assembly	195	0.00118
GO:0033591	response to L-ascorbic acid	4	0.00121
GO:0007229	integrin-mediated signaling pathway	78	0.00121
GO:0007165	signal transduction	3510	0.00122
GO:0048813	dendrite morphogenesis	108	0.00125
GO:0042572	retinol metabolic process	31	0.00132
GO:0032757	positive regulation of interleukin-8 production	43	0.00135
GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	46	0.00136
GO:0034375	high-density lipoprotein particle remodeling	8	0.00139
GO:0001843	neural tube closure	82	0.00143
GO:0043691	reverse cholesterol transport	8	0.00145
GO:0030155	regulation of cell adhesion	534	0.00145
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	41	0.00153
GO:0032728	positive regulation of interferon-beta production	38	0.00155
GO:1900182	positive regulation of protein localization to nucleus	78	0.00156
GO:0031663	lipopolysaccharide-mediated signaling pathway	45	0.00156
GO:0014070	response to organic cyclic compound	612	0.00166
GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	58	0.00170
GO:0001895	retina homeostasis	48	0.00171
GO:0032024	positive regulation of insulin secretion	45	0.00177
GO:0003334	keratinocyte development	10	0.00183
GO:0010838	positive regulation of keratinocyte proliferation	8	0.00186
GO:1905515	non-motile cilium assembly	56	0.00193
GO:0006885	regulation of pH	67	0.00194
