GO.ID	Term	Annotated	Raw.P.Value
GO:0045087	innate immune response	512	8.5e-09
GO:0070098	chemokine-mediated signaling pathway	32	1.2e-08
GO:0051965	positive regulation of synapse assembly	33	1.2e-08
GO:0007186	G protein-coupled receptor signaling pathway	349	1.3e-08
GO:0010628	positive regulation of gene expression	801	3.7e-08
GO:0045429	positive regulation of nitric oxide biosynthetic process	29	3.9e-08
GO:0007155	cell adhesion	977	9.1e-08
GO:0071347	cellular response to interleukin-1	87	1.2e-07
GO:0006955	immune response	954	1.4e-07
GO:0030593	neutrophil chemotaxis	55	1.6e-07
GO:0006695	cholesterol biosynthetic process	43	3.5e-07
GO:0032496	response to lipopolysaccharide	209	3.9e-07
GO:0006954	inflammatory response	451	4.0e-07
GO:0007267	cell-cell signaling	985	6.5e-07
GO:1902895	positive regulation of pri-miRNA transcription by RNA polymerase II	37	6.8e-07
GO:0030855	epithelial cell differentiation	460	8.1e-07
GO:0071222	cellular response to lipopolysaccharide	129	9.7e-07
GO:0070374	positive regulation of ERK1 and ERK2 cascade	122	9.9e-07
GO:0030198	extracellular matrix organization	201	1.7e-06
GO:0016477	cell migration	1029	2.1e-06
GO:0045071	negative regulation of viral genome replication	49	2.3e-06
GO:0007165	signal transduction	3510	4.0e-06
GO:0001525	angiogenesis	368	4.7e-06
GO:0048661	positive regulation of smooth muscle cell proliferation	66	5.1e-06
GO:0051607	defense response to virus	208	9.5e-06
GO:0035987	endodermal cell differentiation	34	1.1e-05
GO:0060333	interferon-gamma-mediated signaling pathway	31	1.2e-05
GO:0071356	cellular response to tumor necrosis factor	177	1.2e-05
GO:0150104	transport across blood-brain barrier	59	1.6e-05
GO:0042742	defense response to bacterium	132	1.7e-05
GO:0060337	type I interferon signaling pathway	50	1.7e-05
GO:0001666	response to hypoxia	238	1.9e-05
GO:0043065	positive regulation of apoptotic process	399	2.4e-05
GO:1902600	proton transmembrane transport	117	2.6e-05
GO:0032760	positive regulation of tumor necrosis factor production	66	4.3e-05
GO:0009617	response to bacterium	381	5.9e-05
GO:0010951	negative regulation of endopeptidase activity	145	6.0e-05
GO:0051770	positive regulation of nitric-oxide synthase biosynthetic process	13	8.1e-05
GO:0034220	ion transmembrane transport	808	8.6e-05
GO:0045766	positive regulation of angiogenesis	108	9.5e-05
GO:0032722	positive regulation of chemokine production	43	0.00010
GO:0071260	cellular response to mechanical stimulus	59	0.00010
GO:0045669	positive regulation of osteoblast differentiation	50	0.00011
GO:0032731	positive regulation of interleukin-1 beta production	36	0.00012
GO:0045840	positive regulation of mitotic nuclear division	32	0.00012
GO:0010977	negative regulation of neuron projection development	108	0.00013
GO:0031424	keratinization	27	0.00014
GO:0071404	cellular response to low-density lipoprotein particle stimulus	14	0.00015
GO:0033627	cell adhesion mediated by integrin	56	0.00016
GO:0042554	superoxide anion generation	26	0.00016
GO:0044344	cellular response to fibroblast growth factor stimulus	73	0.00017
GO:0002544	chronic inflammatory response	10	0.00017
GO:0034097	response to cytokine	652	0.00017
GO:0046597	negative regulation of viral entry into host cell	16	0.00019
GO:0098869	cellular oxidant detoxification	65	0.00020
GO:0032755	positive regulation of interleukin-6 production	66	0.00022
GO:0050729	positive regulation of inflammatory response	83	0.00023
