Pathway Code	Pathway Name	P-Value	Annotated
hsa05171	Coronavirus disease - COVID-19 - Homo sapiens (human)	5.40888892436571e-13	175
hsa04668	TNF signaling pathway - Homo sapiens (human)	1.22731934570297e-12	99
hsa05167	Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)	8.96612254739634e-11	145
hsa05130	Pathogenic Escherichia coli infection - Homo sapiens (human)	1.76477539158999e-10	157
hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)	5.36638451230121e-10	123
hsa04210	Apoptosis - Homo sapiens (human)	1.3932931345866e-08	114
hsa04657	IL-17 signaling pathway - Homo sapiens (human)	1.39767804223575e-08	70
hsa05163	Human cytomegalovirus infection - Homo sapiens (human)	1.22357274254663e-08	165
hsa04218	Cellular senescence - Homo sapiens (human)	1.71297581577433e-08	139
hsa04064	NF-kappa B signaling pathway - Homo sapiens (human)	2.53976327610017e-08	84
hsa05417	Lipid and atherosclerosis - Homo sapiens (human)	2.93734316148617e-08	166
hsa05164	Influenza A - Homo sapiens (human)	7.91993157204972e-08	130
hsa05132	Salmonella infection - Homo sapiens (human)	1.10027688168541e-07	214
hsa05160	Hepatitis C - Homo sapiens (human)	1.29070544772648e-07	125
hsa04380	Osteoclast differentiation - Homo sapiens (human)	2.12532527284596e-07	89
hsa05162	Measles - Homo sapiens (human)	2.00992411399304e-07	105
hsa04613	Neutrophil extracellular trap formation - Homo sapiens (human)	3.05994161550307e-07	132
hsa04621	NOD-like receptor signaling pathway - Homo sapiens (human)	4.0648928622578e-07	130
hsa04620	Toll-like receptor signaling pathway - Homo sapiens (human)	4.76712397671023e-07	71
hsa04936	Alcoholic liver disease - Homo sapiens (human)	4.95509022858725e-07	104
hsa05169	Epstein-Barr virus infection - Homo sapiens (human)	4.58849779567294e-07	164
hsa00100	Steroid biosynthesis - Homo sapiens (human)	9.47029506977246e-07	18
hsa05170	Human immunodeficiency virus 1 infection - Homo sapiens (human)	1.13373829579876e-06	161
hsa05131	Shigellosis - Homo sapiens (human)	1.22940004695754e-06	215
hsa05142	Chagas disease - Homo sapiens (human)	1.27637415934234e-06	77
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)	1.32393450183996e-06	72
hsa05205	Proteoglycans in cancer - Homo sapiens (human)	2.92882858041901e-06	164
hsa01040	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	3.33498912394665e-06	23
hsa04810	Regulation of actin cytoskeleton - Homo sapiens (human)	3.94369360433265e-06	165
hsa05133	Pertussis - Homo sapiens (human)	4.72874561898999e-06	58
hsa04010	MAPK signaling pathway - Homo sapiens (human)	5.70172160395634e-06	222
hsa04217	Necroptosis - Homo sapiens (human)	6.80412303709584e-06	118
hsa04625	C-type lectin receptor signaling pathway - Homo sapiens (human)	8.12924398997644e-06	81
hsa05207	Chemical carcinogenesis - receptor activation - Homo sapiens (human)	1.16788150596412e-05	130
hsa05135	Yersinia infection - Homo sapiens (human)	1.86433033994996e-05	114
hsa05418	Fluid shear stress and atherosclerosis - Homo sapiens (human)	2.37981643956247e-05	116
hsa05140	Leishmaniasis - Homo sapiens (human)	2.58672855739937e-05	56
hsa00071	Fatty acid degradation - Homo sapiens (human)	2.75993921792104e-05	36
hsa05161	Hepatitis B - Homo sapiens (human)	2.77505375860106e-05	134
hsa05200	Pathways in cancer - Homo sapiens (human)	2.87949573010676e-05	390
hsa05322	Systemic lupus erythematosus - Homo sapiens (human)	3.11002490407632e-05	85
hsa03320	PPAR signaling pathway - Homo sapiens (human)	5.07579305881185e-05	48
hsa04061	Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)	4.96126453646128e-05	35
hsa00980	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	6.88758596119869e-05	37
hsa04145	Phagosome - Homo sapiens (human)	9.30807619431528e-05	106
hsa05219	Bladder cancer - Homo sapiens (human)	9.4873226314155e-05	38
hsa00830	Retinol metabolism - Homo sapiens (human)	0.000103443605290928	30
hsa05034	Alcoholism - Homo sapiens (human)	0.00010371560846636	128
hsa05210	Colorectal cancer - Homo sapiens (human)	9.94927722397878e-05	82
hsa04510	Focal adhesion - Homo sapiens (human)	0.00012223479608989	154
hsa04979	Cholesterol metabolism - Homo sapiens (human)	0.000123964902854064	30
hsa04935	Growth hormone synthesis, secretion and action - Homo sapiens (human)	0.000164815915249087	90
hsa05145	Toxoplasmosis - Homo sapiens (human)	0.000182507781032571	91
hsa04115	p53 signaling pathway - Homo sapiens (human)	0.000203415092366711	69
hsa04151	PI3K-Akt signaling pathway - Homo sapiens (human)	0.000201144098650221	228
hsa04514	Cell adhesion molecules - Homo sapiens (human)	0.000201007302142282	92
hsa04216	Ferroptosis - Homo sapiens (human)	0.000266551861595704	36
hsa04933	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)	0.000271784626766952	82
hsa05221	Acute myeloid leukemia - Homo sapiens (human)	0.000278138705678856	56
hsa05146	Amoebiasis - Homo sapiens (human)	0.000293974634551593	74
hsa05165	Human papillomavirus infection - Homo sapiens (human)	0.000318551994697591	255
hsa04071	Sphingolipid signaling pathway - Homo sapiens (human)	0.000352991907015204	102
hsa04062	Chemokine signaling pathway - Homo sapiens (human)	0.000358869548374829	113
hsa04650	Natural killer cell mediated cytotoxicity - Homo sapiens (human)	0.000374763042094655	73
hsa04662	B cell receptor signaling pathway - Homo sapiens (human)	0.000378721407438793	59
hsa05203	Viral carcinogenesis - Homo sapiens (human)	0.000386196333567533	175
hsa00512	Mucin type O-glycan biosynthesis - Homo sapiens (human)	0.00044035315565393	25
hsa04512	ECM-receptor interaction - Homo sapiens (human)	0.000654439941450579	50
hsa04610	Complement and coagulation cascades - Homo sapiens (human)	0.000692685872660554	40
hsa00062	Fatty acid elongation - Homo sapiens (human)	0.000740663833207053	23
hsa04920	Adipocytokine signaling pathway - Homo sapiens (human)	0.00077329830039709	50
hsa05134	Legionellosis - Homo sapiens (human)	0.000766426492652163	50
hsa04660	T cell receptor signaling pathway - Homo sapiens (human)	0.000964661837813419	71
hsa02010	ABC transporters - Homo sapiens (human)	0.000989923106734385	33
hsa04670	Leukocyte transendothelial migration - Homo sapiens (human)	0.000993503442732182	80
hsa00900	Terpenoid backbone biosynthesis - Homo sapiens (human)	0.0010251445091152	19
hsa04664	Fc epsilon RI signaling pathway - Homo sapiens (human)	0.00113478997131165	49
hsa04976	Bile secretion - Homo sapiens (human)	0.0012170967730382	38
hsa05152	Tuberculosis - Homo sapiens (human)	0.00122201351435758	126
hsa05202	Transcriptional misregulation in cancer - Homo sapiens (human)	0.00134193133812734	141
hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	0.00143155565525735	47
hsa04915	Estrogen signaling pathway - Homo sapiens (human)	0.00146922614198725	98
hsa05143	African trypanosomiasis - Homo sapiens (human)	0.00156377712780727	21
hsa04530	Tight junction - Homo sapiens (human)	0.00174255449718967	136
hsa04722	Neurotrophin signaling pathway - Homo sapiens (human)	0.001795857875134	104
hsa04659	Th17 cell differentiation - Homo sapiens (human)	0.00189271342655331	75
hsa05412	Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)	0.0022538640494045	44
hsa04611	Platelet activation - Homo sapiens (human)	0.00232714902691977	83
hsa05410	Hypertrophic cardiomyopathy - Homo sapiens (human)	0.00270847872916021	46
hsa05416	Viral myocarditis - Homo sapiens (human)	0.00270847872916021	46
hsa05220	Chronic myeloid leukemia - Homo sapiens (human)	0.00282820495418455	72
hsa05100	Bacterial invasion of epithelial cells - Homo sapiens (human)	0.00310246241340607	69
hsa00600	Sphingolipid metabolism - Homo sapiens (human)	0.00327389669652211	43
hsa04270	Vascular smooth muscle contraction - Homo sapiens (human)	0.00360511120478239	84
hsa05321	Inflammatory bowel disease - Homo sapiens (human)	0.00403935154922662	40
hsa04931	Insulin resistance - Homo sapiens (human)	0.00415663636101737	89
hsa05323	Rheumatoid arthritis - Homo sapiens (human)	0.00422675215101865	64
hsa04929	GnRH secretion - Homo sapiens (human)	0.00445103766318425	39
hsa00620	Pyruvate metabolism - Homo sapiens (human)	0.00471151469671036	37
hsa05414	Dilated cardiomyopathy - Homo sapiens (human)	0.00505627687103206	48
hsa04927	Cortisol synthesis and secretion - Homo sapiens (human)	0.00517285879264657	35
hsa05226	Gastric cancer - Homo sapiens (human)	0.00599464686444737	104
hsa04971	Gastric acid secretion - Homo sapiens (human)	0.00629164405918493	48
hsa04750	Inflammatory mediator regulation of TRP channels - Homo sapiens (human)	0.00665290548429061	70
hsa05230	Central carbon metabolism in cancer - Homo sapiens (human)	0.00704168434627697	57
hsa04940	Type I diabetes mellitus - Homo sapiens (human)	0.00711122453434387	26
hsa05213	Endometrial cancer - Homo sapiens (human)	0.0077605788951009	54
hsa04640	Hematopoietic cell lineage - Homo sapiens (human)	0.00832792074960772	43
hsa00140	Steroid hormone biosynthesis - Homo sapiens (human)	0.00851178393580975	23
hsa04371	Apelin signaling pathway - Homo sapiens (human)	0.00874521372552524	90
hsa04921	Oxytocin signaling pathway - Homo sapiens (human)	0.00874837985830734	101
hsa05332	Graft-versus-host disease - Homo sapiens (human)	0.00869358482114323	20
hsa04926	Relaxin signaling pathway - Homo sapiens (human)	0.00888314709706181	94
hsa05212	Pancreatic cancer - Homo sapiens (human)	0.009072188381091	72
hsa04012	ErbB signaling pathway - Homo sapiens (human)	0.00933037654534498	77
hsa04370	VEGF signaling pathway - Homo sapiens (human)	0.00924812557451399	51
hsa05224	Breast cancer - Homo sapiens (human)	0.00927680534501061	107
hsa04520	Adherens junction - Homo sapiens (human)	0.00960136603677204	66
hsa05204	Chemical carcinogenesis - DNA adducts - Homo sapiens (human)	0.00957259622857618	31
hsa05216	Thyroid cancer - Homo sapiens (human)	0.00991332238542946	35
hsa04923	Regulation of lipolysis in adipocytes - Homo sapiens (human)	0.0102371640406723	34
hsa05206	MicroRNAs in cancer - Homo sapiens (human)	0.0103641900823739	139
hsa04072	Phospholipase D signaling pathway - Homo sapiens (human)	0.0106636343118546	108
hsa00982	Drug metabolism - cytochrome P450 - Homo sapiens (human)	0.0108003259022182	36
hsa04972	Pancreatic secretion - Homo sapiens (human)	0.0108996126506939	52
hsa04975	Fat digestion and absorption - Homo sapiens (human)	0.0111382791327617	20
hsa04912	GnRH signaling pathway - Homo sapiens (human)	0.0121077710000835	71
hsa04015	Rap1 signaling pathway - Homo sapiens (human)	0.0136020844863061	160
hsa04024	cAMP signaling pathway - Homo sapiens (human)	0.0135093943491253	122
hsa04928	Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)	0.0135344337301976	80
hsa05218	Melanoma - Homo sapiens (human)	0.0135428562459669	51
