Pathway Code	Pathway Name	P-Value	Annotated
hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)	7.66762333143123e-08	123
hsa00100	Steroid biosynthesis - Homo sapiens (human)	3.04665312665468e-07	18
hsa05130	Pathogenic Escherichia coli infection - Homo sapiens (human)	4.49425826603538e-07	157
hsa05200	Pathways in cancer - Homo sapiens (human)	3.56549112060081e-07	390
hsa01040	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	3.18498564758516e-06	23
hsa05171	Coronavirus disease - COVID-19 - Homo sapiens (human)	3.73093261649539e-06	175
hsa05162	Measles - Homo sapiens (human)	9.0238509407916e-06	105
hsa05169	Epstein-Barr virus infection - Homo sapiens (human)	9.40254580431049e-06	164
hsa04010	MAPK signaling pathway - Homo sapiens (human)	1.09072692531304e-05	222
hsa05164	Influenza A - Homo sapiens (human)	1.39335623855679e-05	130
hsa05417	Lipid and atherosclerosis - Homo sapiens (human)	1.41908282469962e-05	166
hsa04115	p53 signaling pathway - Homo sapiens (human)	2.16382434556544e-05	69
hsa04210	Apoptosis - Homo sapiens (human)	2.02844708732293e-05	114
hsa04613	Neutrophil extracellular trap formation - Homo sapiens (human)	1.78467523161918e-05	132
hsa05163	Human cytomegalovirus infection - Homo sapiens (human)	1.89207418574345e-05	165
hsa04650	Natural killer cell mediated cytotoxicity - Homo sapiens (human)	2.5627041637079e-05	73
hsa04514	Cell adhesion molecules - Homo sapiens (human)	3.52842436441267e-05	92
hsa04810	Regulation of actin cytoskeleton - Homo sapiens (human)	3.42506347061976e-05	165
hsa05132	Salmonella infection - Homo sapiens (human)	3.91264456807739e-05	214
hsa04218	Cellular senescence - Homo sapiens (human)	4.37031461212049e-05	139
hsa04972	Pancreatic secretion - Homo sapiens (human)	4.93495102401615e-05	52
hsa04979	Cholesterol metabolism - Homo sapiens (human)	4.8717819432531e-05	30
hsa05219	Bladder cancer - Homo sapiens (human)	6.65283889944999e-05	38
hsa04020	Calcium signaling pathway - Homo sapiens (human)	7.30026985771208e-05	129
hsa04064	NF-kappa B signaling pathway - Homo sapiens (human)	7.7700155169445e-05	84
hsa04670	Leukocyte transendothelial migration - Homo sapiens (human)	9.36756607061762e-05	80
hsa05205	Proteoglycans in cancer - Homo sapiens (human)	9.29448192639276e-05	164
hsa05167	Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)	0.000112089298301145	145
hsa03320	PPAR signaling pathway - Homo sapiens (human)	0.000118865811129539	48
hsa05216	Thyroid cancer - Homo sapiens (human)	0.000122885938134901	35
hsa04610	Complement and coagulation cascades - Homo sapiens (human)	0.000159480087586208	40
hsa04061	Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)	0.000175600741184371	35
hsa04620	Toll-like receptor signaling pathway - Homo sapiens (human)	0.000200263644315886	71
hsa00071	Fatty acid degradation - Homo sapiens (human)	0.000253865247544878	36
hsa04062	Chemokine signaling pathway - Homo sapiens (human)	0.000237105673535872	113
hsa04978	Mineral absorption - Homo sapiens (human)	0.000266158457945714	37
hsa05034	Alcoholism - Homo sapiens (human)	0.000261826598126259	128
hsa05160	Hepatitis C - Homo sapiens (human)	0.000246710655227027	125
hsa05170	Human immunodeficiency virus 1 infection - Homo sapiens (human)	0.000226496479647643	161
hsa05202	Transcriptional misregulation in cancer - Homo sapiens (human)	0.00024503562396229	141
hsa04928	Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)	0.000281709185629399	80
hsa04270	Vascular smooth muscle contraction - Homo sapiens (human)	0.000316696748476649	84
hsa00590	Arachidonic acid metabolism - Homo sapiens (human)	0.000330246572920496	34
hsa04924	Renin secretion - Homo sapiens (human)	0.000349310680558242	45
hsa04024	cAMP signaling pathway - Homo sapiens (human)	0.000396353904579963	122
hsa04530	Tight junction - Homo sapiens (human)	0.000439627981560815	136
hsa05207	Chemical carcinogenesis - receptor activation - Homo sapiens (human)	0.000450581933890708	130
hsa04936	Alcoholic liver disease - Homo sapiens (human)	0.000550040058667723	104
hsa05322	Systemic lupus erythematosus - Homo sapiens (human)	0.000539861292458528	85
hsa00982	Drug metabolism - cytochrome P450 - Homo sapiens (human)	0.000611171201850815	36
hsa04621	NOD-like receptor signaling pathway - Homo sapiens (human)	0.000626059188954281	130
hsa04380	Osteoclast differentiation - Homo sapiens (human)	0.00072190143058361	89
hsa05146	Amoebiasis - Homo sapiens (human)	0.000705479031284659	74
hsa05412	Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)	0.000714265539151962	44
hsa04668	TNF signaling pathway - Homo sapiens (human)	0.000761437224731923	99
hsa05131	Shigellosis - Homo sapiens (human)	0.000747963960710823	215
hsa04662	B cell receptor signaling pathway - Homo sapiens (human)	0.000787607699950681	59
hsa04022	cGMP-PKG signaling pathway - Homo sapiens (human)	0.000864621784939224	102
hsa04660	T cell receptor signaling pathway - Homo sapiens (human)	0.000872699718255112	71
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)	0.00083637875050228	72
hsa05418	Fluid shear stress and atherosclerosis - Homo sapiens (human)	0.000857020044797226	116
hsa05224	Breast cancer - Homo sapiens (human)	0.000911942761349375	107
