GO.ID	Term	Annotated	Raw.P.Value
GO:0005509	calcium ion binding	430	1.1e-08
GO:0020037	heme binding	81	3.6e-06
GO:0005201	extracellular matrix structural constituent	94	4.0e-06
GO:0005178	integrin binding	103	4.5e-06
GO:0050661	NADP binding	45	5.1e-06
GO:0042803	protein homodimerization activity	533	1.2e-05
GO:0031995	insulin-like growth factor II binding	7	1.6e-05
GO:0004745	retinol dehydrogenase activity	9	3.7e-05
GO:0005516	calmodulin binding	123	8.5e-05
GO:0008201	heparin binding	92	8.5e-05
GO:0001618	virus receptor activity	54	8.8e-05
GO:0044325	ion channel binding	90	0.00013
GO:0015485	cholesterol binding	37	0.00021
GO:0072582	17-beta-hydroxysteroid dehydrogenase (NADP+) activity	9	0.00026
GO:0015293	symporter activity	79	0.00037
GO:0106310	protein serine kinase activity	311	0.00048
GO:0106311	protein threonine kinase activity	311	0.00048
GO:0004867	serine-type endopeptidase inhibitor activity	48	0.00056
GO:0015194	L-serine transmembrane transporter activity	8	0.00067
GO:0005506	iron ion binding	96	0.00077
GO:0071949	FAD binding	33	0.00082
GO:0009922	fatty acid elongase activity	5	0.00089
GO:0102756	very-long-chain 3-ketoacyl-CoA synthase activity	5	0.00089
GO:0005544	calcium-dependent phospholipid binding	33	0.00090
GO:0005179	hormone activity	19	0.00096
GO:0004623	phospholipase A2 activity	18	0.00100
GO:0001968	fibronectin binding	21	0.00101
GO:0048306	calcium-dependent protein binding	56	0.00105
GO:0003779	actin binding	324	0.00130
GO:0004683	calmodulin-dependent protein kinase activity	19	0.00146
GO:0031683	G-protein beta/gamma-subunit complex binding	15	0.00166
GO:0002020	protease binding	111	0.00184
GO:0045296	cadherin binding	314	0.00187
GO:0004698	calcium-dependent protein kinase C activity	15	0.00188
GO:0070330	aromatase activity	11	0.00188
GO:0032052	bile acid binding	7	0.00190
GO:0061809	NAD+ nucleotidase, cyclic ADP-ribose generating	10	0.00194
GO:0050135	NAD(P)+ nucleosidase activity	10	0.00194
GO:0031994	insulin-like growth factor I binding	11	0.00232
GO:0047044	androstan-3-alpha,17-beta-diol dehydrogenase activity	5	0.00254
GO:0005518	collagen binding	52	0.00262
GO:0015026	coreceptor activity	26	0.00271
GO:0051015	actin filament binding	156	0.00286
GO:0001972	retinoic acid binding	10	0.00289
GO:0047023	androsterone dehydrogenase activity	4	0.00312
GO:0004190	aspartic-type endopeptidase activity	15	0.00312
GO:0005085	guanyl-nucleotide exchange factor activity	187	0.00314
GO:0004499	N,N-dimethylaniline monooxygenase activity	4	0.00318
GO:0052739	phosphatidylserine 1-acylhydrolase activity	7	0.00319
GO:0018636	phenanthrene 9,10-monooxygenase activity	3	0.00341
GO:0047086	ketosteroid monooxygenase activity	3	0.00341
GO:0019900	kinase binding	615	0.00346
