GO.ID	Term	Annotated	Raw.P.Value
GO:0005178	integrin binding	103	3.6e-10
GO:0008083	growth factor activity	77	9.8e-10
GO:0005125	cytokine activity	93	1.7e-09
GO:0020037	heme binding	81	1.2e-07
GO:0005201	extracellular matrix structural constituent	94	2.4e-07
GO:0005509	calcium ion binding	430	2.5e-07
GO:0008009	chemokine activity	18	2.1e-06
GO:0008201	heparin binding	92	1.2e-05
GO:0002020	protease binding	111	1.6e-05
GO:0001786	phosphatidylserine binding	37	2.3e-05
GO:0042803	protein homodimerization activity	533	2.8e-05
GO:0004888	transmembrane signaling receptor activity	397	2.8e-05
GO:0042802	identical protein binding	1583	3.7e-05
GO:0004867	serine-type endopeptidase inhibitor activity	48	0.00015
GO:0003779	actin binding	324	0.00018
GO:0001968	fibronectin binding	21	0.00019
GO:0004252	serine-type endopeptidase activity	83	0.00020
GO:0019901	protein kinase binding	551	0.00021
GO:0044325	ion channel binding	90	0.00028
GO:0043236	laminin binding	20	0.00033
GO:0015293	symporter activity	79	0.00042
GO:0045499	chemorepellent activity	22	0.00048
GO:0030020	extracellular matrix structural constituent conferring tensile strength	20	0.00056
GO:0005102	signaling receptor binding	949	0.00063
GO:0001618	virus receptor activity	54	0.00067
GO:0001730	2'-5'-oligoadenylate synthetase activity	4	0.00072
GO:0071949	FAD binding	33	0.00073
GO:0005506	iron ion binding	96	0.00079
GO:0072582	17-beta-hydroxysteroid dehydrogenase (NADP+) activity	9	0.00093
GO:0009055	electron transfer activity	105	0.00103
GO:0004745	retinol dehydrogenase activity	9	0.00109
GO:0019825	oxygen binding	14	0.00131
GO:0017017	MAP kinase tyrosine/serine/threonine phosphatase activity	10	0.00141
GO:0004715	non-membrane spanning protein tyrosine kinase activity	32	0.00144
GO:0016175	superoxide-generating NAD(P)H oxidase activity	6	0.00144
GO:0032052	bile acid binding	7	0.00164
GO:0050544	arachidonic acid binding	4	0.00196
GO:0042834	peptidoglycan binding	8	0.00214
GO:0015026	coreceptor activity	26	0.00219
GO:0016208	AMP binding	13	0.00220
GO:0045236	CXCR chemokine receptor binding	11	0.00222
GO:0035091	phosphatidylinositol binding	222	0.00271
GO:0034634	glutathione transmembrane transporter activity	4	0.00310
GO:0043878	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity	6	0.00338
GO:0015075	ion transmembrane transporter activity	539	0.00345
GO:0048306	calcium-dependent protein binding	56	0.00367
GO:0015459	potassium channel regulator activity	33	0.00370
GO:0017080	sodium channel regulator activity	25	0.00372
GO:0015280	ligand-gated sodium channel activity	7	0.00390
GO:0052851	ferric-chelate reductase (NADPH) activity	3	0.00393
GO:0008823	cupric reductase activity	3	0.00393
GO:0005179	hormone activity	19	0.00430
GO:0017159	pantetheine hydrolase activity	3	0.00494
GO:0030169	low-density lipoprotein particle binding	9	0.00523
