GO.ID	Term	Annotated	Raw.P.Value
GO:0005886	plasma membrane	3115	9.9e-13
GO:0070062	extracellular exosome	1638	1.2e-11
GO:0005925	focal adhesion	375	3.2e-11
GO:0097542	ciliary tip	44	1.1e-09
GO:0005930	axoneme	119	1.4e-09
GO:0005615	extracellular space	2123	6.2e-09
GO:0036064	ciliary basal body	154	1.0e-07
GO:0005856	cytoskeleton	1808	1.7e-07
GO:0009986	cell surface	467	2.3e-07
GO:0120293	dynein axonemal particle	20	3.7e-07
GO:0097729	9+2 motile cilium	107	8.4e-07
GO:0031514	motile cilium	166	2.2e-06
GO:0030992	intraciliary transport particle B	18	3.1e-06
GO:0005874	microtubule	367	3.3e-06
GO:0036126	sperm flagellum	92	1.5e-05
GO:0005737	cytoplasm	8976	1.7e-05
GO:0005887	integral component of plasma membrane	786	2.3e-05
GO:0005814	centriole	134	3.6e-05
GO:0045121	membrane raft	229	9.4e-05
GO:0036157	outer dynein arm	7	0.00011
GO:0005813	centrosome	558	0.00012
GO:0031410	cytoplasmic vesicle	1774	0.00015
GO:0005576	extracellular region	2557	0.00019
GO:0097228	sperm principal piece	18	0.00019
GO:0062023	collagen-containing extracellular matrix	228	0.00024
GO:0001533	cornified envelope	31	0.00025
GO:0045095	keratin filament	19	0.00030
GO:0016021	integral component of membrane	3170	0.00040
GO:0016324	apical plasma membrane	243	0.00040
GO:0009897	external side of plasma membrane	162	0.00041
GO:0031982	vesicle	2882	0.00045
GO:0005858	axonemal dynein complex	19	0.00052
GO:0030991	intraciliary transport particle A	7	0.00058
GO:0005876	spindle microtubule	62	0.00062
GO:0001725	stress fiber	58	0.00078
GO:0005881	cytoplasmic microtubule	71	0.00087
GO:0005796	Golgi lumen	53	0.00102
GO:0072686	mitotic spindle	142	0.00109
GO:0035976	transcription factor AP-1 complex	4	0.00110
GO:0033018	sarcoplasmic reticulum lumen	6	0.00164
GO:0036038	MKS complex	13	0.00198
GO:0031225	anchored component of membrane	83	0.00210
GO:0042470	melanosome	94	0.00238
GO:0072687	meiotic spindle	11	0.00255
GO:0031526	brush border membrane	36	0.00283
GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	64	0.00291
GO:0005788	endoplasmic reticulum lumen	210	0.00300
GO:0097225	sperm midpiece	23	0.00361
GO:0016323	basolateral plasma membrane	155	0.00366
GO:0032449	CBM complex	4	0.00399
GO:0005871	kinesin complex	40	0.00434
GO:0044307	dendritic branch	3	0.00555
GO:0032154	cleavage furrow	49	0.00559
GO:0032421	stereocilium bundle	38	0.00630
GO:0005903	brush border	72	0.00722
GO:0097546	ciliary base	35	0.00795
GO:0042824	MHC class I peptide loading complex	8	0.00807
GO:0030425	dendrite	389	0.00850
GO:0034666	integrin alpha2-beta1 complex	3	0.00924
GO:0072562	blood microparticle	50	0.00932
GO:0005789	endoplasmic reticulum membrane	900	0.00944
GO:0016328	lateral plasma membrane	59	0.00978
GO:0005829	cytosol	4426	0.00982
GO:1990531	phospholipid-translocating ATPase complex	7	0.01003
GO:0036156	inner dynein arm	5	0.01021
